ID,Name,Industry,Inception,Employees,State,City,Revenue,Expenses,Profit,Growth
586,Interfaceaboard,IT Services,2020,456,ME,Clarksville,"$8,479,527","5,536,776 Dollars",,68%
587,Fluetruffles,IT Services,2014,97,MN,Ashburn,"$9,102,684","7,119,417 Dollars",,68%
588,Scarletcheeses,Financial Services,2021,310,TX,Iselin,"$8,011,003","5,170,148 Dollars",,9%
589,Grapegraves,IT Services,2020,208,MI,Sandy,"$14,054,668","5,654,473 Dollars",,90%
590,Causedunsure,Software,2005,166,CA,Santa Barbara,"$15,308,702","3,656,515 Dollars",,63%
591,Launchingillusion,Financial Services,2012,292,WI,FRISCO,"$19,189,120","5,898,203 Dollars",,5%
592,Radonspoonbill,Government Services,2013,200,OH,Fairfax,"$19,368,644","2,837,224 Dollars",,9%
593,Puncturecorona,IT Services,2008,285,PA,Atlanta,"$2,144,228","4,600,157 Dollars",,77%
594,Haulbittern,IT Services,2005,42,NV,Provo,"$9,962,549","3,538,668 Dollars",,86%
595,Smartpans,IT Services,2009,123,NC,Fredericksburg,"$16,949,576","3,840,145 Dollars",,61%
596,Lisppanel,IT Services,2022,214,VA,Arlington,"$15,743,212","7,950,352 Dollars",,65%
597,Dillimported,Health,2011,302,MD,Madison Heights,"$6,585,014","5,879,732 Dollars",,21%
598,Bookingchildish,Retail,2014,447,TX,Tucson,"$17,668,382","6,212,850 Dollars",,14%
599,Supportersfaint,Financial Services,2017,8,IL,Northampton,"$1,578,383","7,427,041 Dollars",,15%
600,Potiondecathlon,IT Services,2018,43,OH,Winter Garden,"$18,565,286","5,173,905 Dollars",,78%
601,Perfumegrown,Financial Services,2022,461,MN,Columbia,"$11,352,216","3,772,943 Dollars",,13%
602,Prunewatchful,Health,2020,204,DC,Cicero,"$12,678,818","5,637,043 Dollars",,17%
603,Stovepuck,Retail,2009,103,CA,Morrisville,"$4,733,944","1,323,006 Dollars",,12%
604,Pickyfive,IT Services,2016,306,ME,Philadelphia,"$4,901,399","444,963 Dollars",,76%
605,Rattlemurrelet,Health,2014,62,MN,Hopewell Junction,"$18,531,764","2,439,138 Dollars",,8%
606,Scalptowhee,Retail,2012,469,TX,Princeton,"$19,772,812","6,903,335 Dollars",,10%
607,Flexthirsty,Health,2013,408,MI,Buffalo,"$1,673,782","1,040,663 Dollars",,26%
608,Befriendogle,Government Services,2018,34,CA,Plymouth Meeting,"$7,297,638","777,732 Dollars",,10%
609,Stupidarboreal,IT Services,2017,155,WI,Centennial,"$15,561,728","3,692,983 Dollars",,90%
610,Bignumadept,IT Services,2007,455,OH,PEARLAND,"$1,498,455","7,727,398 Dollars",,82%
611,Shapelessunits,Financial Services,2009,449,PA,Lakewood,"$18,291,234","3,147,930 Dollars",,15%
612,Samsungclimbing,IT Services,2015,253,NV,Frisco,"$1,149,754","5,669,859 Dollars",,80%
613,Kickminstrel,IT Services,2019,164,NC,Novi,"$19,331,194","4,666,918 Dollars",,70%
614,Cherriesplump,Financial Services,2016,497,VA,Atlanta,"$4,137,999","1,261,502 Dollars",,13%
615,Solsticeaudio,Health,2022,144,MD,Bethesda,"$4,969,731","628,140 Dollars",,3%
616,Ascendermogul,Health,2018,453,TX,Bethesda,"$15,404,727","5,947,865 Dollars",,11%
617,Cribcaused,Financial Services,2009,162,IL,Orlando,"$5,335,772","1,392,918 Dollars",,8%
618,Tryfanscaly,Government Services,2020,15,OH,Richmond,"$17,890,352","4,274,359 Dollars",,11%
619,Cajoleavoidant,IT Services,2012,353,MN,Indianapolis,"$5,581,614","1,875,021 Dollars",,87%
620,Cogstrip,IT Services,2008,43,DC,Hickory Hills,"$18,930,815","1,453,320 Dollars",,80%
621,Announcesbuck,Health,2006,59,CA,Fresno,"$12,861,008","3,802,971 Dollars",,21%
622,Ericssonsafe,IT Services,2019,462,ME,Washington,"$10,879,605","1,639,881 Dollars",,74%
623,Ahemparticular,Retail,2006,216,MN,Providence,"$13,409,591","5,327,159 Dollars",,11%
624,Oraclemend,IT Services,2019,5,TX,New Haven,"$4,119,808","3,513,210 Dollars",,80%
625,Loosepause,Financial Services,e,464,MI,Sandy,"$13,526,109","989,657 Dollars",,9%
626,Dragonnode,IT Services,2010,42,CA,Rockville,"$1,468,615","6,523,002 Dollars",,77%
627,Australisbetter,Health,2006,446,WI,Bloomington,"$12,840,915","5,541,103 Dollars",,16%
628,Profilecliche,Construction,2018,175,OH,Wichita,"$12,413,132","3,351,686 Dollars",,5%
629,Indonesianheliopause,Health,2011,340,PA,San Diego,"$17,929,812","6,001,115 Dollars",,12%
630,Soulfulantigravity,Retail,2019,290,NV,San Diego,"$5,769,934","4,897,147 Dollars",,15%
631,Toolsavagery,Retail,2019,490,NC,Omaha,"$16,967,232","6,294,266 Dollars",,15%
632,Magmarejoice,Health,2018,215,VA,New York,"$19,295,281","1,117,207 Dollars",,7%
633,Bloodhoundthin,Government Services,2022,276,MD,Winter Garden,"$10,354,590","5,608,636 Dollars",,11%
634,Waggerhooves,Software,2022,33,TX,Boston,"$1,953,643","4,916,738 Dollars",,60%
635,Miaowgrinder,IT Services,2016,161,IL,Dallas,"$10,452,199","2,758,417 Dollars",,70%
636,Fablescraper,Retail,2013,271,OH,Lubbock,"$8,118,465","2,163,837 Dollars",,10%
637,Lardassare,IT Services,2011,315,MN,Burbank,"$7,318,812","5,796,076 Dollars",,66%
638,Footshy,Software,2017,494,DC,Reston,"$19,403,986","5,788,685 Dollars",,61%
639,Bonfirefailing,IT Services,2017,251,CA,Wilmington,"$7,052,818","3,250,701 Dollars",,63%
640,Openstrustee,Financial Services,2019,45,ME,Austin,"$16,342,324","2,753,445 Dollars",,12%
641,Launchbiggest,Construction,2018,370,MN,Minneapolis,"$9,806,121","5,624,601 Dollars",,12%
642,Blueshiftcrispy,IT Services,2022,449,TX,San Clemente,"$10,648,747","5,705,848 Dollars",,87%
643,Twistedelephant,Financial Services,2012,261,MI,Horsham,"$494,705","3,263,195 Dollars",,14%
644,Whinchatdates,Health,2014,449,CA,Chicago,"$2,393,669","5,383,016 Dollars",,28%
645,Annoyinglyarabian,IT Services,2021,461,WI,San Diego,"$13,412,662","4,489,464 Dollars",,80%
646,Ursastudying,Health,2017,77,OH,San Diego,"$7,014,688","7,693,564 Dollars",,2%
647,Hostileglove,Financial Services,2007,273,PA,Overland Park,"$4,936,946","4,434,902 Dollars",,9%
648,Ikeamongolian,Construction,2018,260,NV,Boston,"$15,928,696","1,498,326 Dollars",,24%
649,Handgunheard,IT Services,2018,180,NC,Portland,"$12,587,312","405,046 Dollars",,77%
650,Trapexperts,Financial Services,2007,407,VA,Chelmsford,"$8,824,977","4,097,492 Dollars",,9%
651,Currymercurial,Health,2020,196,MD,Seattle,"$15,547,808","8,653,819 Dollars",,12%
652,Totallyzonked,IT Services,2005,188,TX,Waxhaw,"$4,344,563","847,471 Dollars",,70%
653,Practisemax,Health,2015,424,IL,Reston,"$7,975,378","3,517,341 Dollars",,4%
654,Slicerseptum,Financial Services,2022,439,OH,Blacksburg,"$1,672,232","3,454,720 Dollars",,14%
655,Librationmelba,Construction,2020,414,MN,Elk Grove Village,"$8,895,822","7,705,076 Dollars",,13%
656,Placehospitable,IT Services,2010,171,DC,Clearwater,"$7,442,710","5,611,401 Dollars",,72%
657,Arabianagena,Financial Services,2010,159,CA,Baltimore,"$7,260,320","2,093,539 Dollars",,12%
658,Admitruppell,Health,2010,20,ME,Hamilton,"$11,099,118","5,213,752 Dollars",,23%
659,Lucrepickled,IT Services,2009,438,MN,Houston,"$19,949,566","5,595,184 Dollars",,73%
660,Marchedsausage,Health,2016,119,TX,San Jose,"$1,116,529","2,286,093 Dollars",,18%
661,Glandminer,Financial Services,2020,343,MI,Redmond,"$11,142,676","5,835,474 Dollars",,8%
662,Tausnash,Construction,2009,240,CA,Fort Walton Beach,"$9,122,093","1,320,670 Dollars",,25%
663,Enterwaist,IT Services,2012,170,WI,Franklin,"$629,131","5,240,165 Dollars",,65%
664,Crunchabout,Financial Services,2016,39,OH,Austin,"$7,537,806","5,863,891 Dollars",,6%
665,Grippingstirring,Health,2015,37,PA,San Diego,"$3,616,625","7,543,898 Dollars",,1%
666,Scullianpinwheel,IT Services,2020,161,NV,Staten Island,"$1,909,785","5,232,914 Dollars",,71%
667,Measuresflipping,Health,2015,487,NC,Vista,"$6,784,419","5,649,634 Dollars",,20%
668,Ridglingshod,Financial Services,2019,234,VA,Ann Arbor,"$3,728,487","2,973,758 Dollars",,9%
669,Linkedallianz,Construction,2018,7,MD,Farmingdale,"$8,763,155","5,204,075 Dollars",,10%
670,Sculptorjelly,IT Services,2006,97,TX,Reston,"$719,441","2,153,036 Dollars",,65%
671,Surroundoutrageous,Financial Services,2007,412,IL,Minneapolis,"$3,089,463","6,773,401 Dollars",,14%
672,Testingear,Health,2006,476,OH,Aliso Viejo,"$16,790,825","4,175,333 Dollars",,3%
673,Riddledinfant,IT Services,2018,297,MN,Chicago,"$19,960,154","125,636 Dollars",,76%
674,Detritaldartford,Health,2020,394,DC,La Crosse,"$1,556,862","3,093,398 Dollars",,1%
675,Appliesoverrated,Financial Services,2021,403,CA,Newport Beach,"$14,164,367","1,232,981 Dollars",,14%
676,Bumhercules,Construction,2014,353,ME,Ashburn,"$8,993,089","1,367,679 Dollars",,25%
677,Flaskssunny,IT Services,2008,43,MN,Smyrna,"$833,999","7,802,236 Dollars",,61%
678,Glazetwang,Financial Services,2019,200,TX,West Chester,"$6,699,425","5,999,661 Dollars",,7%
679,Blendplacid,Health,2013,232,MI,Newark,"$13,203,245","6,235,329 Dollars",,22%
680,Infectedduck,IT Services,2008,175,CA,San Antonio,"$15,620,887","6,751,233 Dollars",,78%
681,Allowuntidy,Health,2007,197,WI,Herndon,"$18,480,335","3,436,061 Dollars",,22%
682,Moleculecircle,Financial Services,2015,146,OH,Chicago,"$2,957,384","2,466,043 Dollars",,7%
683,Portlyroomy,Construction,2016,406,PA,Minneapolis,"$2,700,521","1,130,701 Dollars",,11%
684,Rustyentertain,IT Services,2015,359,NV,Kittery,"$13,081,171","804,036 Dollars",,90%
685,Novelfollicle,Financial Services,2020,284,NC,San Diego,"$12,409,507","1,044,376 Dollars",,10%
686,Yawningcricket,Health,2018,467,VA,Jackson,"$14,345,135","4,631,809 Dollars",,14%
687,Friendlego,IT Services,2010,130,MD,North Charleston,"$3,000,647","4,374,842 Dollars",,90%
688,Lambdafortunate,Health,2012,70,TX,Tampa,"$9,320,353","4,626,276 Dollars",,11%
689,Dashedcompounds,Financial Services,2007,110,IL,Chapel Hill,"$8,539,035","2,127,985 Dollars",,5%
690,Hayloftmizuna,Construction,2018,270,OH,Chesapeake,"$3,108,836",,,11%
691,Thalliumwould,IT Services,2008,278,MN,Chesapeake,"$9,891,504","6,482,466 Dollars",,72%
692,Regexsay,Financial Services,2019,274,DC,Dallas,"$6,412,238","916,456 Dollars",,5%
693,Hoeforeach,Health,2022,193,CA,Woodbine,"$9,350,037","7,591,190 Dollars",,19%
694,Dessertsanchovy,IT Services,2009,240,ME,Roswell,"$2,234,634","7,429,378 Dollars",,63%
695,Reveredtogether,Health,2005,165,MN,Orlando,"$6,125,800","7,435,364 Dollars",,13%
696,Langedprivacy,Financial Services,2019,52,TX,San Diego,"$12,782,501","5,470,304 Dollars",,11%
697,Rosychoke,Construction,2022,372,MI,Montgomery,"$5,240,017","6,249,499 Dollars",,10%
698,Valuesbilled,IT Services,2009,181,CA,Oklahoma City,"$3,462,833","3,878,114 Dollars",,83%
699,Stayspheroid,Financial Services,2012,409,WI,Glen Allen,"$4,173,892",,,14%
700,Barmpotfishified,Health,2009,116,OH,Golden Valley,"$17,473,163","5,635,277 Dollars",,16%
701,Soddenfurther,IT Services,2018,26,PA,Westchester,"$9,541,876","4,762,320 Dollars",,61%
702,Drudgelepe,Health,2011,168,NV,Warren,"$8,940,782","6,196,410 Dollars",,3%
703,Heinzvolary,Financial Services,2009,311,NC,Columbus,"$10,403,820","5,686,575 Dollars",,6%
704,Excellencerecent,Construction,2012,340,VA,Encino,"$12,687,757","7,567,234 Dollars",,21%
705,Condemnedgenuine,IT Services,2011,58,MD,Pasadena,"$3,029,559","4,365,513 Dollars",,75%
706,Fatsohealth,Financial Services,2021,390,TX,Addison,"$6,428,641","7,019,974 Dollars",,14%
707,Abusivebong,Health,2016,360,IL,Orlando,"$12,392,926","2,910,757 Dollars",,25%
708,Baileycrowd,IT Services,2013,149,OH,Spring Hill,"$19,942,905","7,731,821 Dollars",,86%
709,Foxwml,Health,2019,389,MN,Houston,"$17,592,291","7,439,385 Dollars",,9%
710,Serpentineappeals,Financial Services,2008,466,DC,Moorestown,"$16,424,588","2,388,522 Dollars",,8%
711,Genusequ,Construction,2011,212,CA,Ashburn,"$13,654,962","3,560,344 Dollars",,5%
712,Fearwhimbrel,IT Services,2022,331,ME,Dallas,"$12,615,401","2,394,136 Dollars",,85%
713,Dwindlecertain,Financial Services,2010,28,MN,Sterling,"$17,233,176","810,127 Dollars",,10%
714,Suckedregister,Health,2013,406,TX,Annapolis,"$9,164,919","4,682,546 Dollars",,3%
715,Comparejson,IT Services,2016,434,MI,New York,"$9,937,450","374,817 Dollars",,74%
716,Pickledcanoeing,Health,2010,73,CA,Walnut,"$7,712,067","4,917,352 Dollars",,19%
717,Assurehelp,Financial Services,2017,225,WI,Plano,"$2,279,518","3,685,641 Dollars",,7%
718,Shrimpssecurity,Construction,2013,292,OH,Stafford,"$11,628,778","223,603 Dollars",,22%
719,Rawfishcomplete,IT Services,2011,42,PA,Scarsdale,"$13,318,243","2,445,886 Dollars",,73%
720,Buretteadmirable,Financial Services,2016,152,NV,Greensboro,"$2,884,882","4,437,656 Dollars",,12%
721,Inventtremendous,Health,2013,226,NC,Coronado,"$12,850,552","4,781,281 Dollars",,23%
722,Overviewparrot,IT Services,2012,30,VA,Framingham,"$9,089,620","1,415,313 Dollars",,86%
723,Belaguerra,Health,2007,100,MD,Huntsville,"$14,361,390","6,759,244 Dollars",,19%
724,Allpossible,Financial Services,2021,75,TX,Scottsdale,"$18,974,900","7,221,159 Dollars",,11%
725,Comparejson,Construction,2006,395,IL,Omaha,"$18,743,663","461,976 Dollars",,18%
726,Pickledcanoeing,IT Services,2016,37,OH,Sterling,"$15,260,571",,,83%
727,Assurehelp,Financial Services,2005,354,MN,Boston,"$9,939,259","6,561,022 Dollars",,15%
728,Shrimpssecurity,Health,2019,96,DC,Willow Grove,"$15,015,465","4,273,208 Dollars",,17%
729,Rawfishcomplete,IT Services,2008,228,CA,Rockville,"$19,962,037","6,344,373 Dollars",,71%
730,Buretteadmirable,Health,2021,272,ME,Canton,"$9,405,905","6,782,078 Dollars",,8%
731,Inventtremendous,Financial Services,2021,231,MN,Independence,"$14,737,515","1,097,354 Dollars",,15%
732,Overviewparrot,Construction,2007,306,TX,Irmo,"$11,725,732","5,873,667 Dollars",,21%
733,Belaguerra,IT Services,2006,193,MI,Sterling,"$16,747,634","4,837,189 Dollars",,85%
734,Allpossible,Financial Services,2020,116,CA,Hanover,"$18,257,960","1,455,582 Dollars",,13%
735,Comparejson,Health,2022,223,WI,Cincinnati,"$3,407,543","6,968,475 Dollars",,10%
736,Pickledcanoeing,IT Services,2007,79,OH,San Luis Obispo,"$3,291,784","4,498,100 Dollars",,87%
737,Assurehelp,Health,2019,225,PA,Boston,"$18,473,662","3,291,057 Dollars",,5%
738,Shrimpssecurity,Financial Services,2016,411,NV,Bellevue,"$4,465,011","8,350,914 Dollars",,7%
739,Rawfishcomplete,Construction,2021,180,NC,Atlanta,"$16,911,967","2,632,248 Dollars",,22%
740,Buretteadmirable,IT Services,2012,1,VA,Fort Worth,"$2,706,468","3,162,906 Dollars",,62%
741,Inventtremendous,Financial Services,2011,431,MD,Minnetonka,"$8,658,923","1,412,143 Dollars",,11%
742,Overviewparrot,Health,2020,330,TX,Annapolis,"$14,862,233","2,544,308 Dollars",,1%
743,Belaguerra,IT Services,2018,122,IL,Washington,"$9,704,181","6,089,131 Dollars",,87%
744,Allpossible,Health,2011,393,OH,Falls Church,"$15,490,607","5,667,426 Dollars",,13%
745,Comparejson,Financial Services,2012,37,MN,Richmond,"$9,498,248","7,703,653 Dollars",,9%
746,Pickledcanoeing,Construction,2011,26,DC,Cranbury,"$7,866,302","9,860,687 Dollars",,13%
747,Assurehelp,IT Services,2012,328,CA,Stafford,"$11,729,243","4,206,341 Dollars",,64%
748,Shrimpssecurity,Financial Services,2015,348,ME,Columbia,"$6,744,246","4,069,682 Dollars",,7%
749,Rawfishcomplete,Health,2017,469,MN,South Jordan,"$11,295,220","4,117,103 Dollars",,18%
750,Buretteadmirable,IT Services,2020,167,TX,Pembroke Pines,"$3,920,817","2,772,160 Dollars",,83%
751,Inventtremendous,Health,2011,398,MI,Falls Church,"$11,484,628","1,885,811 Dollars",,23%
752,Overviewparrot,Financial Services,2021,205,CA,Worley,"$4,656,609","2,379,904 Dollars",,15%
753,Belaguerra,Construction,2008,183,WI,Apopka,"$10,405,018","4,474,648 Dollars",,15%
754,Allpossible,IT Services,2013,356,OH,Anderson,"$3,358,630","5,973,655 Dollars",,63%
755,Comparejson,Financial Services,2013,249,PA,Jacksonville,"$19,036,363","4,082,937 Dollars",,14%
756,Pickledcanoeing,Health,2005,28,NV,Louisville,"$11,856,953","6,042,546 Dollars",,7%
757,Assurehelp,IT Services,2013,14,NC,Reston,"$6,650,372","3,101,953 Dollars",,89%
758,Shrimpssecurity,Health,2015,171,VA,Tampa,"$3,737,109","3,944,878 Dollars",,19%
759,Rawfishcomplete,Financial Services,2017,12,MD,Baltimore,"$6,999,492","594,699 Dollars",,14%
760,Buretteadmirable,Construction,2022,130,TX,Reston,"$2,623,915","2,958,882 Dollars",,7%
761,Inventtremendous,IT Services,2013,150,IL,Salt Lake City,"$8,956,915","2,364,776 Dollars",,60%
762,Overviewparrot,Financial Services,2017,203,OH,Rutherford,"$12,013,337","2,494,385 Dollars",,11%
763,Belaguerra,Health,2009,375,MN,Sterling Heights,"$9,860,139","2,359,225 Dollars",,1%
764,Allpossible,IT Services,2006,340,DC,Boston,"$4,318,780","8,763,555 Dollars",,72%
765,Comparejson,Health,2021,277,CA,Rockville,"$483,157","5,975,969 Dollars",,20%
766,Pickledcanoeing,Financial Services,2011,63,ME,North Hollywood,"$3,108,225","2,785,800 Dollars",,7%
767,Assurehelp,Construction,2006,420,,San Francisco,"$12,253,828","3,476,282 Dollars",,24%
768,Shrimpssecurity,IT Services,2013,187,TX,Edina,"$4,832,141","5,536,776 Dollars",,88%
769,Rawfishcomplete,Financial Services,2020,473,MI,Broomfield,"$4,086,221","7,119,417 Dollars",,13%
770,Buretteadmirable,Health,2005,305,CA,Atlanta,"$1,639,889","5,170,148 Dollars",,20%
771,Inventtremendous,IT Services,2017,482,WI,Redwood City,"$17,147,893","5,654,473 Dollars",,69%
772,Overviewparrot,Health,2018,283,OH,El Cajon,"$182,622","3,656,515 Dollars",,7%
773,Belaguerra,Financial Services,2018,455,PA,Hilton Head Island,"$17,108,943","5,898,203 Dollars",,10%
774,Allpossible,Construction,2022,281,NV,Boardman,"$14,793,204","2,837,224 Dollars",,3%
775,Comparejson,IT Services,2016,225,NC,Medford,"$5,525,473","4,600,157 Dollars",,86%
776,Pickledcanoeing,Financial Services,2021,160,VA,Charlotte,"$8,177,672","3,538,668 Dollars",,7%
777,Assurehelp,Health,2006,260,MD,Norwalk,"$12,642,035","3,840,145 Dollars",,24%
778,Shrimpssecurity,IT Services,2015,415,TX,Chantilly,"$4,865,417","7,950,352 Dollars",,73%
779,Rawfishcomplete,Health,2016,181,IL,Centerville,"$12,850,121","5,879,732 Dollars",,6%
780,Buretteadmirable,Financial Services,2020,66,OH,Savage,"$5,010,785","6,212,850 Dollars",,15%
781,Inventtremendous,Construction,2016,183,MN,Westbury,"$4,607,684","7,427,041 Dollars",,11%
782,Overviewparrot,IT Services,2016,21,DC,Austin,"$12,249,009","5,173,905 Dollars",,86%
783,Belaguerra,Financial Services,2019,97,CA,Denver,"$5,854,552","3,772,943 Dollars",,13%
784,Allpossible,Health,2008,406,ME,Maitland,"$7,702,599","5,637,043 Dollars",,14%
785,Comparejson,IT Services,2017,122,MN,Edison,"$918,726","1,323,006 Dollars",,80%
786,Pickledcanoeing,Health,2017,423,TX,Rockland,"$17,446,901","444,963 Dollars",,1%
787,Assurehelp,Financial Services,2021,225,MI,Coventry,"$5,115,690","2,439,138 Dollars",,11%
788,Shrimpssecurity,Construction,2019,264,CA,Summerfield,"$1,889,084","6,903,335 Dollars",,21%
789,Rawfishcomplete,IT Services,2021,67,WI,Medley,"$10,648,086","1,040,663 Dollars",,63%
790,Buretteadmirable,Financial Services,2019,494,OH,Tinley Park,"$8,973,058","777,732 Dollars",,13%
791,Inventtremendous,Health,2016,310,PA,Denver,"$17,243,825","3,692,983 Dollars",,15%
792,Overviewparrot,IT Services,2009,377,NV,Santa Ana,"$6,793,494","7,727,398 Dollars",,61%
793,Belaguerra,Health,2010,335,NC,Chantilly,"$14,159,615","3,147,930 Dollars",,25%
794,Allpossible,Financial Services,2020,488,VA,San Antonio,"$17,119,884","5,669,859 Dollars",,6%
795,Comparejson,Construction,2006,233,MD,Bellwood,"$12,101,539","4,666,918 Dollars",,23%
796,Pickledcanoeing,IT Services,2010,207,TX,Downers Grove,"$18,843,234","1,261,502 Dollars",,65%
797,Assurehelp,Financial Services,2022,332,IL,Memphis,"$14,689,354","628,140 Dollars",,7%
798,Shrimpssecurity,Health,2014,62,OH,Mount Pleasant,"$2,149,222","5,947,865 Dollars",,15%
799,Rawfishcomplete,IT Services,2011,299,MN,San Diego,"$17,663,800","1,392,918 Dollars",,88%
800,Buretteadmirable,Health,2010,221,DC,St. Louis,"$1,124,595","4,274,359 Dollars",,3%
801,Inventtremendous,Financial Services,2021,26,CA,Woodstock,"$18,498,065","1,875,021 Dollars",,5%
802,Overviewparrot,Construction,2012,500,ME,Reston,"$15,697,887","1,453,320 Dollars",,1%
803,Belaguerra,IT Services,2006,148,MN,Iselin,"$19,975,758","3,802,971 Dollars",,89%
804,Allpossible,Financial Services,2019,41,TX,Burnsville,"$1,339,731","1,639,881 Dollars",,15%
805,Comparejson,Health,2006,248,MI,Austin,"$18,296,057","5,327,159 Dollars",,3%
806,Pickledcanoeing,IT Services,2006,206,CA,Portland,"$10,360,208","3,513,210 Dollars",,75%
807,Assurehelp,Health,2010,262,WI,Ashburn,"$16,658,236","989,657 Dollars",,14%
808,Shrimpssecurity,Financial Services,2006,385,OH,Nashville,"$4,892,031","6,523,002 Dollars",,6%
809,Rawfishcomplete,Construction,2010,272,PA,Minneapolis,"$17,358,062","5,541,103 Dollars",,14%
810,Buretteadmirable,IT Services,2014,308,NV,Chantilly,"$942,516","3,351,686 Dollars",,87%
811,Inventtremendous,Financial Services,2015,287,NC,Westlake,"$2,326,788","6,001,115 Dollars",,14%
812,Overviewparrot,Health,2014,429,VA,Lewisville,"$5,998,504","4,897,147 Dollars",,9%
813,Belaguerra,IT Services,2015,293,MD,Irving,"$5,683,921","6,294,266 Dollars",,87%
814,Allpossible,Health,2008,271,TX,Omaha,"$19,749,837","1,117,207 Dollars",,8%
815,Comparejson,Financial Services,2009,237,IL,Norwalk,"$14,910,204","5,608,636 Dollars",,5%
816,Pickledcanoeing,Construction,2021,480,OH,Littleton,"$6,638,211","4,916,738 Dollars",,15%
817,Assurehelp,IT Services,2012,241,MN,Charlotte,"$11,725,656","2,758,417 Dollars",,67%
818,Shrimpssecurity,Financial Services,2017,250,DC,Rochester Hills,"$10,704,871","2,163,837 Dollars",,14%
819,Rawfishcomplete,Health,2018,189,CA,Sterling,"$13,613,766","5,796,076 Dollars",,14%
820,Buretteadmirable,IT Services,2015,366,ME,Arvada,"$18,165,899","5,788,685 Dollars",,65%
821,Inventtremendous,Health,2020,391,MN,Schaumburg,"$15,335,215","3,250,701 Dollars",,2%
822,Overviewparrot,Financial Services,2019,309,TX,Bakersfield,"$2,071,248","2,753,445 Dollars",,7%
823,Belaguerra,Construction,2010,335,MI,Roswell,"$12,511,842","5,624,601 Dollars",,12%
824,Allpossible,IT Services,2021,61,CA,Boca Raton,"$18,616,060","5,705,848 Dollars",,90%
825,Comparejson,Financial Services,2019,55,WI,New York,"$11,117,795","3,263,195 Dollars",,12%
826,Pickledcanoeing,Health,2021,131,OH,Trenton,"$16,489,840","5,383,016 Dollars",,26%
827,Assurehelp,IT Services,2022,465,PA,Oakbrook Terrace,"$6,477,031","4,489,464 Dollars",,88%
828,Shrimpssecurity,Health,2015,306,NV,Lombard,"$7,262,172","7,693,564 Dollars",,27%
829,Rawfishcomplete,Financial Services,2016,499,NC,Atlanta,"$18,655,721","4,434,902 Dollars",,6%
830,Buretteadmirable,Construction,2005,465,VA,Corona,"$13,059,625","1,498,326 Dollars",,2%
831,Inventtremendous,IT Services,2006,2,MD,New York,"$1,046,760","405,046 Dollars",,78%
832,Overviewparrot,Financial Services,2020,388,TX,Troy,"$8,635,209","4,097,492 Dollars",,8%
833,Belaguerra,Health,2014,78,IL,Hendersonville,"$2,961,221","8,653,819 Dollars",,11%
834,Allpossible,IT Services,2014,96,OH,Tysons Corner,"$7,218,335","847,471 Dollars",,73%
835,Comparejson,Health,2007,184,MN,Naples,"$12,174,805","3,517,341 Dollars",,26%
836,Pickledcanoeing,Financial Services,2018,421,DC,San Antonio,"$16,512,959","3,454,720 Dollars",,7%
837,Assurehelp,Construction,2006,457,CA,New York,"$4,941,116","7,705,076 Dollars",,23%
838,Shrimpssecurity,IT Services,2020,75,ME,Columbia,"$10,444,714","5,611,401 Dollars",,87%
839,Rawfishcomplete,Financial Services,2022,350,MN,Chicago,"$15,523,838","2,093,539 Dollars",,13%
840,Buretteadmirable,Health,2018,162,TX,Austin,"$5,937,799","5,213,752 Dollars",,6%
841,Inventtremendous,IT Services,2020,284,MI,Austin,"$6,277,854","5,595,184 Dollars",,64%
842,Overviewparrot,Health,2012,87,CA,Los Angeles,"$18,226,979","2,286,093 Dollars",,26%
843,Belaguerra,Financial Services,2021,292,WI,San Bernardino,"$14,660,554","5,835,474 Dollars",,15%
844,Allpossible,Construction,2020,474,OH,Norcross,"$13,331,074","1,320,670 Dollars",,12%
845,Comparejson,IT Services,2005,353,PA,Lake Oswego,"$5,623,302","5,240,165 Dollars",,87%
846,Pickledcanoeing,Financial Services,2012,161,NV,Austin,"$19,593,510","5,863,891 Dollars",,15%
847,Assurehelp,Health,2009,113,NC,Oxnard,"$10,533,991","7,543,898 Dollars",,25%
848,Shrimpssecurity,IT Services,2012,19,VA,Irvine,"$13,861,585","5,232,914 Dollars",,72%
849,Rawfishcomplete,Health,2017,400,MD,Hawthorne,"$11,232,590","5,649,634 Dollars",,1%
850,Buretteadmirable,Financial Services,2014,131,TX,Denver,"$8,587,131","2,973,758 Dollars",,9%
851,Inventtremendous,Construction,2018,51,IL,Houston,"$15,494,039","5,204,075 Dollars",,7%
852,Overviewparrot,IT Services,2021,395,OH,Bethesda,"$19,316,101","2,153,036 Dollars",,86%
853,Belaguerra,Financial Services,2010,278,MN,San Antonio,"$19,828,127","6,773,401 Dollars",,14%
854,Allpossible,Health,2008,93,DC,Woodstock,"$10,603,067","4,175,333 Dollars",,11%
855,Comparejson,IT Services,2007,297,CA,Tucson,"$18,437,170","125,636 Dollars",,86%
856,Pickledcanoeing,Health,2016,118,ME,Greenbelt,"$10,627,755","3,093,398 Dollars",,4%
857,Assurehelp,Financial Services,2007,340,MN,Chandler,"$12,597,586","1,232,981 Dollars",,9%
858,Shrimpssecurity,Construction,2022,209,TX,Carlsbad,"$817,101","1,367,679 Dollars",,8%
859,Rawfishcomplete,IT Services,2022,171,MI,Reston,"$12,853,501","7,802,236 Dollars",,72%
